"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-01",,"56","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-02",,"59","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-03",,"37","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-04",,"34","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-05",,"47","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-06",,"41","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-07",,"34","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-08",,"30","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-09",,"40","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-10",,"40","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-11",,"24","15"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-12",,"40","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-13",,"48","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-14",,"43","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-15",,"21","10"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-16",,"37","10"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-17",,"44","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-18",,"36","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-19",,"49","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-20",,"46","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-21",,"22","14"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-22",,"29","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-23",,"37","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-24",,"36","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-25",,"42","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-26",,"28","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-27",,"32","17"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-28",,"32","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-29",,"29","12"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-30",,"26","12"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-31",,"31","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-01",,"36","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-02",,"47","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-03",,"52","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-04",,"57","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-05",,"27","19"
